id,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,X,Y
356,79,28,54,117,52,99,93,25,60,34.87,24.16,45.04,-23.75,-26.66,-38.87,-18.61,4.12,-5.03,-18.51,-1.36,-4.23,-18.09,-0.7,-3.27,-15.79,-1.21,-3.39,140.7278031880562,35.81923477606164
202,46,27,50,83,51,90,76,26,56,68.54,24.27,48.21,16.37,-24.89,-27.66,2.19,4.93,1.25,-18.62,-2.17,-7.11,-21.12,-1.56,-6.35,-22.19,-4.45,-7.32,140.43283472879492,36.61189648904864
183,56,26,50,94,50,87,83,24,54,53.57,21.97,43.47,2,-25.22,-27.11,-8.04,5.69,1.43,-12.99,0.23,-5.97,-14.35,-0.55,-5.4,-14.51,-2.68,-5.15,140.23889057847927,36.08975623324473
306,56,58,81,69,65,100,109,42,80,56.41,-8.84,11.55,26.51,-40.14,-41.28,-32.79,-11.96,-24.36,-19.27,-0.81,-4.45,-18.37,-0.94,-4.23,-16.77,-1.35,-3.65,140.70314833353692,36.76893518253685
511,70,28,53,103,53,99,94,24,61,46.95,24.05,45.32,0.11,-28.1,-39.45,-14.22,5.33,-5.9,-23.26,-0.43,-4.16,-28.3,-1.13,-4.92,-23.06,-1.53,-4.15,140.00067047650418,36.03946324974642
215,36,35,56,90,61,105,63,23,53,82.41,16.46,42.18,12.72,-34.79,-41.83,17.88,6.09,2.32,-24.37,-1.6,-4.84,-28.5,-1.14,-6.4,-24.61,-1.56,-4.98,140.72439676833764,35.884914979379246
391,85,29,55,118,47,92,93,25,59,28.78,17.71,34.96,-27.19,-22.83,-35.61,-16.27,3.31,-5.55,-17.95,-0.45,-3.14,-14.54,-1.01,-3.28,-16.77,-1.85,-3.27,140.0844819061609,36.24255951262959
283,49,29,51,89,55,94,85,26,56,69.04,22.47,45.53,16.88,-29.39,-32.57,-2.85,4.62,0.77,-23.46,-2.08,-5.53,-26.82,-0.98,-5.53,-23,-2.47,-5.42,140.6805093465228,36.65359380252482
74,84,32,57,118,50,95,100,25,62,33.66,18,37.72,-19.39,-24.56,-34.28,-19.4,9.46,-1.65,-24.05,-1.6,-6.96,-22.45,-1.61,-6.4,-21.33,-6.33,-8.76,140.48829452041457,36.46821034130871
63,56,69,91,93,96,136,74,54,90,59.92,-17.71,5,9.94,-70.58,-75.28,5.65,-23.42,-33.37,-20.87,-1.07,-4.62,-23.83,-0.66,-4.56,-20.6,-2.14,-4.74,140.47013816427557,36.29588817525254
312,45,30,51,96,53,96,84,23,55,72.13,21.09,45.25,8.72,-27.51,-35.05,-2.89,7.75,1.88,-22.33,-1.04,-5.18,-25.88,-0.88,-5.16,-22.03,-2.22,-4.94,140.57344879466416,36.60613934330632
242,56,32,54,99,50,95,81,24,57,57.89,18.79,43.24,-0.9,-24.01,-32.84,-5.12,4.98,-1.92,-19.23,-1.39,-5.24,-24.38,-1.15,-5.35,-19.24,-1.55,-4.1,140.05701516991445,36.03492761158948
142,53,26,50,91,50,94,66,22,53,65.03,27.79,51.52,9.7,-24.66,-33.49,13.24,7.92,2.75,-27.07,-3.05,-7.77,-35.23,-2.38,-7.44,-26.98,-3.24,-5.96,140.2899082947529,36.035302583729674
234,64,48,65,111,64,107,103,30,64,51.66,3.16,32.62,-10.69,-37.9,-44.47,-25,-0.92,-8.68,-21.26,-1.69,-5.22,-25.13,-1.15,-5.78,-21.16,-1.72,-4.68,140.81320527780105,35.75918584992075
481,54,52,71,91,64,97,123,27,60,58.75,-3.72,22.69,5.07,-39.16,-37.3,-45.31,2.7,-4.47,-21.38,-1.74,-6.54,-19,-1.33,-5.81,-18.89,-1.74,-4.44,139.86269070801944,36.28167052692321
240,60,57,74,106,80,119,108,34,69,54.83,-4.96,24.47,-4.11,-54.05,-56.87,-28.64,-3.27,-11.93,-21.45,-2.19,-5.88,-23.08,-1.07,-5.81,-22.31,-3.38,-6.52,140.27430139739698,36.41067950663711
181,65,28,52,93,49,90,74,24,56,46.96,21.66,42.08,6.71,-24.22,-31.02,1.5,5.36,-1.17,-20.99,-0.98,-4.89,-21.32,-0.74,-4.57,-17.49,0.37,-1.98,140.5302777126647,36.5183963409202
298,66,27,51,113,49,94,91,24,58,49.53,24.21,45.31,-10.85,-23.53,-33.02,-12.12,6.17,-1.77,-20.62,-1.32,-4.15,-24.81,-0.83,-4.88,-20.93,-2.4,-5.07,140.02730404667957,36.24158412326614
157,74,40,61,110,66,110,111,29,68,45.06,14.11,40.33,-11.05,-40.91,-50.03,-30.16,0.21,-12.73,-23.93,0.49,-2.37,-20.46,-0.52,-3.26,-22.27,-0.89,-4.06,140.20497939458403,36.18114262002388
322,51,31,52,87,53,94,73,25,56,61.17,19.33,44.09,5.59,-27.78,-34.29,-0.95,3.81,-1.31,-17.21,-0.15,-2.15,-17.83,-0.42,-2.64,-14.28,-0.94,-3.15,140.42767974197594,36.68615888941582
16,67,68,89,108,74,114,117,44,86,44.82,-17.32,8.65,-14.46,-46.89,-50.18,-42.21,-14.5,-29.84,-20.1,-0.05,-3.1,-20.06,-1.11,-4.97,-18.07,-0.29,-3.91,140.43355684123426,36.077169443504935
297,48,37,64,88,71,103,71,26,54,64.62,12.22,29,6.96,-46.04,-43.96,5.31,3.73,1.44,-19.63,-1.83,-5.1,-17.64,-1.23,-4.91,-16.8,-1.67,-4.18,140.36473234483702,36.41913688685915
228,49,26,50,83,59,96,66,24,57,63.24,24.8,47.48,13.93,-32.8,-33.37,8.1,4.94,-1.94,-18.07,-1.4,-6.21,-24.73,-1.35,-5.79,-18.14,-1.58,-3.95,140.1694442439154,36.13783888191702
18,50,25,49,92,48,90,62,23,52,63.08,25.84,48.42,5.61,-21.87,-27.52,13.09,5.99,3.1,-19.16,-2.88,-7.25,-31.35,-2.43,-7.84,-22.66,-2.57,-4.99,140.09197419211287,36.256826139497235
137,58,27,49,95,46,89,81,22,55,50.55,23.7,44.1,-0.59,-20.87,-30.22,-7.63,7.6,-0.41,-13.32,-3.52,-4.35,-15.3,-1.69,-4.49,-15.93,-3.31,-5.5,140.01763756342643,36.15401861024424
392,54,43,65,111,61,109,89,26,54,65.3,13.12,41.04,-11.75,-34.85,-46.92,-11.54,5.32,3.08,-22.19,-5.43,-10.12,-20.17,-1.55,-5.56,-17.5,-3.39,-5.73,140.5705707312937,36.67273245246951
354,70,83,108,86,85,120,97,57,95,43.01,-31.35,-12.51,14.85,-59.53,-59.85,-20.4,-26.03,-38.43,-17.24,-0.92,-2.54,-22.51,-0.87,-4.05,-18.47,-2.64,-4.87,140.69061360118712,36.68271588499184
473,61,31,55,96,61,101,96,24,55,57.56,21.94,44.46,5.79,-35.96,-40.99,-15.78,5.37,0.24,-24.36,-0.39,-3.55,-26.17,-1.01,-4.63,-23.42,-1.69,-4.43,140.41644481673265,36.0366125734838
45,63,50,69,97,73,109,101,28,60,52.84,0.23,28.34,1.38,-47.16,-46.81,-23.35,0.74,-4.99,-19.85,-0.03,-1.79,-23.22,-0.79,-4.45,-19.2,-0.67,-3.12,140.55795648768847,36.669914546018276
342,53,31,53,94,58,103,76,28,57,60.17,20.9,45.69,-1.1,-32.63,-42.75,-1.69,0.97,-2.14,-19.49,-1.08,-3.3,-20.61,-0.64,-3.33,-16.88,-0.98,-3.26,140.07201006289066,36.26936876802973
376,53,39,60,101,59,109,97,26,58,58.52,12.84,38.56,-9.5,-33.92,-49.36,-22.9,2.79,-3.47,-22.87,-1.24,-5.55,-24,-0.94,-4.1,-22.13,-1.98,-4.09,140.0647095283304,35.90928403088822
244,59,29,53,98,52,94,85,27,60,54.81,21.75,44.2,-0.05,-26.02,-31.89,-9.25,1.96,-4.93,-19.04,-1.21,-4.96,-23.99,-1.09,-5.18,-18.81,-1.44,-3.96,140.47927297720662,35.96289202908068
328,39,35,59,93,60,101,71,23,50,74.11,16.02,38.38,0.17,-34.6,-40.72,2.23,5.9,4.8,-18.16,-0.78,-2.94,-18.92,-0.56,-3.1,-15.16,-0.95,-3.15,140.58753237866966,36.043635612348425
71,92,56,83,172,58,110,97,82,108,20.01,-7.05,9.35,-77.01,-33.18,-51.38,-21.07,-52,-52.4,-19.16,-0.82,-4.46,-18.93,-1.08,-4.44,-16.63,-1.5,-3.74,140.26706758434239,35.9579508852492
482,76,30,58,116,49,92,106,25,62,36,18.2,35.39,-20.14,-24.21,-32.52,-29.09,4.62,-6.64,-20.75,-1.62,-6.37,-18.68,-1.27,-5.61,-18.26,-1.69,-4.29,140.62382897828036,35.91039686411294
178,92,30,57,121,48,95,101,24,60,27.79,18.25,37.38,-18.9,-23.19,-34.44,-12.53,7.72,-1.44,-25.49,-1.46,-5.92,-20.99,-0.98,-5.94,-26.05,-3.18,-7.15,140.1185354546171,36.07312835162882
147,61,29,52,96,55,100,78,26,57,58.07,24.23,48.23,2.59,-29.96,-40.32,2.7,3.27,-1.66,-23.97,1.38,-1.56,-20,0.21,-2.51,-21.23,0.2,-3.25,140.18650262312426,36.179001160565456
179,53,40,60,101,59,102,97,25,54,64.25,12.01,38.11,1.42,-34.09,-42.35,-17.37,4.26,1.04,-23.67,-0.48,-4.12,-27.76,-1.14,-5.03,-23,-1.45,-4.09,140.38152213279565,36.54903719718832
286,48,42,64,81,68,99,98,26,57,64.52,8.08,30.12,16.22,-42.82,-39.29,-21.54,4.29,-0.86,-19.68,-1.36,-5.47,-18.74,-1.01,-4.82,-17.39,-1.7,-4.27,140.52077430170274,36.315989747281066
92,61,65,83,144,58,110,139,38,76,52.32,-13.22,13.44,-44.13,-32.56,-49.8,-62.74,-7.4,-19.77,-15.81,-1.77,-2.89,-20.61,-1.02,-4.11,-16.34,-2.58,-4.78,140.56679452324536,36.69356462055998
143,89,30,58,122,54,101,102,25,59,32.05,23.21,43.07,-20.01,-28.4,-40.46,-19.41,5.38,-2.23,-26.01,0.72,-2.45,-24.49,-0.96,-3.86,-24.05,-1.86,-5.44,140.68909522058456,35.8623318599894
495,50,26,49,90,52,94,64,22,51,68.84,26.92,50.33,11.97,-27.04,-34.08,16.5,7.17,4.05,-24.18,0.84,-1.36,-25.82,-0.93,-4.39,-23.25,-1.61,-4.22,140.75491719448328,35.798636717960946
486,40,33,58,72,56,92,63,22,50,69.96,15.72,35.07,27.19,-31.14,-33.07,10.97,7.45,4.91,-18.57,-0.31,-4.57,-21.21,-1.02,-4.84,-17.04,-0.88,-3.33,140.40407934178313,36.4313777746565
