id,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9,label,X,Y
454,54,28,51,93,56,100,80,24,55,64.88,26.03,50.29,6.74,-30.83,-39.83,0.47,5.5,0.47,-24.52,-0.83,-3.99,-23.22,-0.94,-4.3,-23.22,-1.69,-4.55,s,140.26939714328097,36.897563753416435
457,54,29,51,88,51,91,95,24,55,56.28,20.62,42.67,10.16,-26.12,-32.05,-21.37,5.39,-0.3,-19.03,-0.54,-4.09,-22.24,-1.01,-4.93,-17.81,-0.53,-2.98,s,140.24642376713084,36.40343775257779
261,59,30,52,90,54,93,80,26,58,56.58,21.37,45.45,12.77,-28.17,-30.94,-1.3,3.64,-2.27,-21.04,-1.86,-5.61,-27.73,-1.15,-5.74,-21.81,-2.39,-5.07,s,140.080861666011,35.9068906672446
8,53,27,49,95,49,92,63,25,54,66.97,24.43,49.28,8.08,-22.53,-28.25,19.78,3.75,0.92,-25.65,-2.09,-5.95,-39.27,-2.13,-8.73,-30.73,-2.42,-5.58,s,140.26625616995213,36.58526849562473
478,58,40,65,100,58,100,106,26,57,51.79,8.74,28.06,-1,-33.12,-41.04,-32.17,3.48,-2.08,-18.31,-0.2,-4.85,-21.15,-1,-4.84,-17,-0.91,-3.38,d,140.15153242019338,36.06236323064183
366,50,29,53,84,49,91,83,24,56,62.09,22.07,41.4,16.25,-23.65,-31.11,-6.32,6.87,0.48,-17.48,-0.71,-2.54,-22.6,-0.8,-4.17,-19.46,-2.57,-4.99,s,140.55176777459934,36.44256847193959
303,69,28,52,106,51,94,88,25,58,45.27,23.03,44.04,-4.95,-25.61,-33.58,-11.26,4.97,-2.15,-17.5,-1.32,-3.44,-23.91,-0.87,-4.15,-17.93,-2.33,-4.63,s,140.16596549132123,35.98338140439782
199,67,28,51,99,50,97,82,26,59,47.93,23.77,47.98,1.76,-23.88,-34.41,-2.89,4.32,-2.25,-20.13,-2.11,-6.35,-21.94,-1.22,-6.13,-22.2,-3.41,-6.57,s,140.50121314580971,36.018411622720144
220,31,26,47,90,52,94,53,22,48,86.08,25.75,51.01,13.74,-25.95,-31.4,27.52,8.09,8.28,-24.26,-1.74,-4.66,-28.43,-0.98,-5.94,-24.63,-2.51,-5.83,d,139.76615168508496,36.122773580144354
93,105,160,196,131,65,109,96,40,75,7.66,-112.6,-106.12,-38.71,-40.47,-51.39,-19.3,-10.79,-20.43,-25.7,0.7,-3.87,-22.34,-1.05,-4.52,-20.14,2.24,-0.53,o,139.976885298141,36.27353356070058
461,67,29,53,103,51,96,86,25,55,50.66,23.52,45.89,-1.2,-25.94,-36.02,-6.31,4.5,0.32,-23.96,-0.68,-4.19,-26.91,-1.04,-4.91,-23.21,-1.76,-4.51,h,140.41588704168345,35.916346868184384
37,82,29,54,111,51,97,107,26,63,34.5,22.56,44.5,-3.92,-24.34,-32.79,-24.15,3.4,-6.89,-22.53,-1.87,-6.47,-31.02,-1.97,-8.14,-26.03,-1.92,-5.32,h,140.68563292999633,36.7408843312417
452,52,41,64,93,53,94,80,23,53,59.81,9.08,30.49,5.44,-28.09,-34.74,-4.97,6.6,1.99,-20.02,-0.64,-3.47,-23.14,-1.06,-5.31,-19.88,-0.18,-3.01,d,140.32090925525773,36.55854641066875
247,50,25,48,96,48,92,63,23,52,66.25,26.7,50.06,8.3,-21.95,-29.29,17.55,6.9,4.17,-22.28,-1.86,-5.51,-27.77,-1.22,-6.39,-23.58,-2.38,-5.4,s,140.23351569181577,36.05143886988356
135,40,25,47,81,49,87,74,24,55,69.79,24.89,45.49,13.05,-23.97,-28.46,0.32,5.44,-0.46,-28.43,-1.28,-5.49,-25.56,-1.42,-5.88,-27.55,-2.63,-5.26,s,140.22051450976727,36.04347695852946
520,49,26,48,107,59,104,62,22,53,69.86,27.76,52.66,-5.12,-33.88,-44,19.16,7.36,2.32,-23.48,1.44,-1.59,-26.98,-1.36,-4.81,-24.5,-2.53,-4.97,s,140.3110376579369,36.65350838712998
449,44,38,60,96,60,105,79,25,52,74.99,15.91,41.11,3.3,-34.86,-44.98,1.63,4.42,3.45,-24.43,0,-2.81,-22.21,-0.78,-3.77,-22.94,-1.49,-4.49,d,140.1952537205249,35.85827228015258
59,85,30,56,118,50,96,106,26,60,33.5,20.5,40.5,-11.9,-24.5,-34.9,-21.75,4.41,-2.73,-23.99,-0.42,-5.54,-27.39,-0.92,-5.39,-25.36,-1.81,-5.29,h,140.05829370557913,35.97906385505339
111,51,53,72,88,74,111,64,39,67,61.26,-1.41,23.57,11.49,-48.59,-51.07,11.6,-8.03,-10.57,-17.89,-0.82,-1.82,-21.4,-0.66,-3.75,-19.55,-3.05,-5.48,d,140.62985846857836,36.767976907641675
174,59,29,52,94,57,102,93,26,58,60.47,26.35,50.82,6.11,-31.85,-41.75,-11.48,3.21,-2.7,-26.15,2.23,-1.82,-13.57,0.04,-2.06,-21.93,-1.31,-4.4,s,140.22035083744845,36.47853302225267
193,55,61,90,75,55,91,84,24,54,57.14,-13.14,2.87,20.93,-30.36,-31.88,-6.73,5.47,1.28,-20.84,-1.47,-5.72,-18.73,-1.18,-5.22,-17.81,-1.28,-3.87,d,140.58736155453045,36.754253254455456
439,60,69,95,109,67,109,98,31,66,50.8,-20.31,-2.73,-13.65,-42.1,-50.35,-22.93,-1.56,-11.21,-19.89,-0.69,-4.56,-18.45,-1.08,-4.3,-17.46,-1.08,-3.21,d,140.4303087659465,36.77226809923938
492,78,29,55,114,49,91,95,24,58,33.68,20.13,38.24,-15.21,-24.47,-32.18,-20.28,5.01,-3.48,-19.88,-0.22,-3.78,-22.41,-0.74,-4.91,-17.94,-0.3,-2.83,h,139.90100015412878,36.23351374082377
428,48,33,54,107,58,104,90,25,55,70.16,21.33,48.76,-6.14,-32.49,-43.12,-11.04,5.24,1.05,-22.49,-2.81,-7.31,-22.78,-1.23,-5.12,-19.92,-2.19,-4.89,d,140.55522116342198,36.591434250314684
437,55,40,61,91,58,98,100,25,55,54.38,9.66,31.82,4.71,-33.04,-39.34,-26.54,4.38,-0.48,-18.51,-0.3,-3.59,-18.83,-0.85,-4.09,-17.49,-0.56,-2.79,d,140.66345466531646,36.73492585935913
109,72,28,54,109,51,97,85,25,60,37.56,23.6,44.36,-23.01,-26.08,-37.6,-14.33,3.25,-6.38,-19.1,-0.61,-5.03,-16.02,-0.63,-3.48,-16.77,-1.15,-2.87,h,140.25451297167183,36.626305804149055
519,69,49,76,91,52,91,92,25,57,34.95,-1.55,15.12,5.44,-27.45,-32.64,-21.49,4.32,-2.36,-11.47,-0.4,-3.74,-16.9,-0.78,-4.15,-11.13,-1.48,-3.55,d,140.07326781981914,36.00172255751892
277,48,25,47,92,49,88,63,23,53,65.07,25.11,49.11,3.17,-23.5,-27.34,10.65,5.68,1.68,-18.25,-0.25,-3.01,-20.69,-0.66,-3.75,-16.16,-0.93,-3.29,s,140.49662935308706,36.57300621312767
176,86,28,53,123,54,99,108,25,60,34.15,24.67,45.96,-19.36,-29.33,-39.07,-26.6,3.21,-5.91,-25.7,-0.06,-2.75,-27.53,-0.69,-4.67,-23.96,-0.43,-3.09,h,140.32020408316612,36.5307013521719
311,59,36,61,92,50,88,76,24,56,53.35,13.47,32.23,4.07,-25.02,-28.86,0.14,6.23,-0.08,-19.51,-1.03,-5.05,-19.08,-1.07,-4.72,-16.87,-1.66,-4.05,s,139.96525977629113,35.99862586663589
371,65,27,50,88,47,88,75,23,53,48.37,20.61,40.41,5.43,-22.39,-30.34,1.3,6.16,1.47,-20.45,0.06,-2.97,-18.54,-1.13,-3.87,-16.91,-0.8,-2.75,s,140.00137373468638,36.07000641959341
219,50,34,56,98,55,99,84,25,55,68.27,17.41,42.13,4.33,-28.81,-35.9,-3.5,4.04,0.25,-24.69,-1.86,-5.51,-29.81,-1.33,-6.79,-25.22,-1.95,-5.12,d,140.51961072445692,36.68214894622571
433,39,32,51,94,54,98,76,23,51,72.82,18.37,43.8,4.66,-28.95,-38.5,-1.03,6.72,4.08,-19.93,-0.54,-3.87,-23.99,-1.07,-5.18,-20.14,-1.03,-3.58,d,140.60699043062016,36.5904750755742
83,73,35,61,108,56,95,109,25,59,35.75,21,34.25,3.24,-30.75,-36.25,-35.69,10.83,2.1,-14.22,-6.02,-4.77,-32.81,-0.8,-3.27,-14.72,-7.07,-9.18,h,140.2663270100759,36.14625019005899
384,56,44,64,117,64,114,107,27,59,59.8,9,36.23,-21.56,-38.81,-53.99,-30.52,2.37,-3.83,-20.22,-1.32,-4.54,-18.79,-0.6,-3.21,-17.51,-1.44,-3.67,d,140.1805981188079,36.3208357060087
